No,ICAO,WMO,IATA,Stasiun,Lintang,Bujur,Ketinggian
64,WARR,96935,SUB,Juanda - Surabaya,"S 07°22'38""","E 112°47'38""",3
65,WART,,SUP,Trunojoyo - Sumenep,"S 07°01'27""","E 113°53'24""",3
66,WARW,96925,BXW,Bawean - Harun Thohir,S 05°43',E 112°40',
67,WASF,97630,FKQ,Torea - Fak Fak,"S 02°55'13""","E 132°16'01""",125
68,WASK,97760,KNG,Utarom - Kaimana,"S 03°38'37""","E 133°41'45""",5
69,WASS,97502,SOQ,Domine Eduard Osok - Sorong,"S 00°53'38""","E 131°17'09""",4
70,WATA,,ABU,A.A. Bere Talo / Atambua,"S 09°04'28""","E 124°54'16""",375
71,WATB,,BJW,SOA - Bajawa,"S 08°42'84""","E 121°03'12""",450
72,WATC,97300,MOF,Fransiskus Xaverius Seda - Maumere,"S 08°38'20""","E 122°14'20""",35
73,WATE,,ENE,H. Hasan Aroeboesman - Ende,"S 08°50'57""","E 121°39'38""",15
74,WATG,97284,RTG,Frans Sales Lega - Ruteng,"S 08°35'46""","E 120°28'40""",1143
75,WATK,,TMC,Tambolaka - Sumba Barat,"S 09°24'34""","E 119°14'40""",62
76,WATL,97310,LKA,Gewayantana - Larantuka,"S 08°16'27""","E 123°00'00""",9
77,WATM,97320,ARD,Mali - Alor,"S 08°08'11""","E 124°35'38""",3
78,WATO,97282,LBJ,Komodo - Labuan Bajo,"S 08°29'17""","E 119°53'20""",67
79,WATR,97378,RTI,David Constantijn Saudale - Rote,"S 10°46'01""","E 123°04'30""",140
80,WATS,97380,SAU,Tardamu - Sabu,"S 10°29'34""","E 121°50'59""",20
81,WATT,97372,KOE,El Tari - Kupang,"S 10°10'17""","E 123°40'19""",103
82,WATU,97340,WGP,Umbu Mehang Kunda - Waingapu,"S 09°40'08""","E 120°17'56""",10
83,WATW,,LWE,Wunopito - Lembata,"S 08°21'96""","E 123°26'24""",
84,WAUU,97530,MKW,Rendani - Manokwari,"S 00°53'35""","E 134°03'00""",5
85,WAVV,97686,WMX,Wamena,"S 04°05'43""","E 138°57'03""",1655
86,WAWB,97192,BUW,Beto Ambari - Bau Bau,"S 05°29'13""","E 122°34'08""",34
87,WAWP,,PUM,Sangia Nibandera - Kolaka,"S 04°10'51""","E 121°36'53""",24
88,WAWW,97146,KDI,Haluoleo - Kendari,"S 04°04'55""","E 122°25'01""",55
89,WAYE,97780,EWI,Enarotali,"S 03°55'32""","E 136°22'40""",1.75
90,WAYY,97796,TIM,Mozes Kilangin - Timika,"S 04°31'39""","E 136°53'23""",103
91,WIBB,96109,PKU,Sultan Syarif Kasim II - Pekanbaru,"N 00°27'36""","E 101°26'38""",37
92,WIBJ,96171,RGT,Japura - Rengat,"S 00°21'07""","E 102°20'02""",19
93,WICA,,KJT,Kertajati,"S 06°39'07""","E 108°09'27""",38
94,WICC,96781,BDO,Husein Sastranegara - Bandung,"S 06°54'07""","E 107°34'34""",812
95,WICD,96793,CBN,Cakrabhuwana / Penggung - Cirebon,"S 06°45'24""","E 108°32'20""",27
96,WICM,96801,TSY,"Wiriadinata - Cibeureum, Tasikmalaya","S 07°20'00""","E 108°15'00""",383
97,WICS,96773,,"Suryadarma - Kalijati, Subang","S 06°31'53""","E 107°39'32""",120
